title,author,category,keywords,summary
Symbolic and Algebraic Computation,/authors/OL4039158A,Informatique,"Informatique, Datenverarbeitung, Algebre, Algebra, Symbolische logica, Kongress, Algorithmus, Algebraischer Kalkul, Fundamentele informatica, Congresses",
Therapielexikon Endokrinologie und Stoffwechselkrankheiten,/authors/OL4039839A,Pharmakotherapie,"Pharmakotherapie, Endokrinopathie, Therapie, Stoffwechselkrankheit, Endokrinologie",
Der Ingenieur und seine Designer,/authors/OL4039859A,,,
Post-Therapeutic Imaging of the Female Pelvis (Medical Radiology / Diagnostic Imaging),/authors/OL4039863A,,,
Digital signal processing with field programmable gate arrays,/authors/OL4040629A,Signal processing,"Signal processing, Digital techniques, Field programmable gate arrays",
Theory of K-Loops,/authors/OL4040880A,Loops (Group theory),"Loops (Group theory), Group theory, Mathematics","The book contains the first systematic exposition of the current known theory of K-loops, as well as some new material. In particular, big classes of examples are constructed. The theory for sharply 2-transitive groups is generalized to the theory of Frobenius groups with many involutions. A detailed discussion of the relativistic velocity addition based on the author's construction of K-loops from classical groups is also included. The first chapters of the book can be used as a text, the later chapters are research notes, and only partially suitable for the classroom. The style is concise, but complete proofs are given. The prerequisites are a basic knowledge of algebra such as groups, fields, and vector spaces with forms."
Pieces from the Makculloch and the Gray Mss. together with the Chepman and Myllar prints,/authors/OL4041212A,,,
The Sun and Cool Stars,/authors/OL4041336A,Astrophysics,"Astrophysics, Astronomy, Physics, Physical geography, Geophysics/Geodesy","The contributions in this volume report recent studies on the sun and late-type stars. Particular emphasis is placed on observations that are relevant to the question of large-scale magnetic activity, and also on the theoretical (dynamo) models for such activity. Experimental papers deal with surface imaging techniques. Explicit computer simulations of hydromagnetic turbulence give insight into the magnetic topology and associated fluid motions, especially near the base of the convection zone. In addition, mean-field dynamo models are presented. The book addresses researchers but should also Äjbe useful for graduate students."
Cd4 Molecule,/authors/OL4041638A,CD4 Antigens,"CD4 Antigens, Physiology, HIV Infections, Immunology, T-Lymphocytes, Receptors, Antigen, T-Cell, alpha-beta, Major Histocompatibility Complex, CD antigens, T cells, Receptors",
Kanalcodierung,/authors/OL4041639A,Kanalcodierung,"Kanalcodierung, Coding theory",
Follicular Dendritic Cells in Normal and Pathological Conditions,/authors/OL4041696A,Dendritic cells,"Dendritic cells, Pathology, Dendritic Cells, Physiology",
Schemata der Leitungsbahnen des Menschen,/authors/OL4042140A,,,
O próprio poético,/authors/OL93696A,Portuguese poetry,"Portuguese poetry, History and criticism",
Bazar,/authors/OL93701A,,,
Atlas dos setores postais do interior de São Paulo,/authors/OL93723A,Directories,"Directories, Postal codes",
Streets of Fire,/authors/OL2659937A,,,
Machado de Assis e Joaquim Nabuco,/authors/OL93851A,,,
La Mome Piaf Les Debuts,/authors/OL930508A,,,
Kojong kwannyom ui pyok ul nomoso,/authors/OL4054872A,,,
Namsan ui pujangdul,/authors/OL4054957A,Politics and government,"Politics and government, Korea (South). Chungang Chŏngbobu, Korea (South), History",
Yugyo sasang kwa chonggyo munhwa,/authors/OL4054983A,,,
Tokto,/authors/OL4055113A,Sources,"Sources, International status, National Territory, History",
Chonjaeng wonin kwa pyonghwa munje,/authors/OL4055289A,War,"War, Military Sociology, Peace",
Ideollogi ui saeroun ihae,/authors/OL4055289A,Ideology,"Ideology, Sociology",
Oenunbagi mulkogi ŭi sarang,/authors/OL4055309A,Poetry,Poetry,
Revoluções brazileiras: resumos historicos,/authors/OL93890A,History,History,
Hanguk haebang 3-yonsa,/authors/OL4055729A,,,
Tongyang chorhak iyagi chumoni,/authors/OL4055740A,,,
Holliudu kidu ui saengae,/authors/OL4055743A,,,
Chingmu punsok kwa chingmu pyongka (KLI mungo),/authors/OL4055808A,"Handbooks, manuals","Handbooks, manuals, Job evaluation",
Yangmul namyong chongsonyon ul wihan kyoyuk puroguraem kaebal e kwanhan yongu =,/authors/OL4055863A,Study and teaching (Secondary),"Study and teaching (Secondary), Drug abuse",
"Yubae, yubaeji, ŏlkʻin param",/authors/OL4056092A,Exiles,"Exiles, Historic sites, Biography, History",
Hanguk chodung kyoyuksa,/authors/OL4056447A,Elementary Education,"Elementary Education, History",
Ulmyŏ usŭmyŏ hamkke salgi,/authors/OL4056450A,,,
Kodae Hano (Haeoe uri omunhak yongu chongso),/authors/OL4056519A,Chinese language,"Chinese language, Readers",
Hyondae Hanguk sosol chakpum ui ihae,/authors/OL4057075A,Korean fiction,"Korean fiction, History and criticism, Fiction, Technique",
"Heretics, Who Followed the Sins of Jeroboam (II)",/authors/OL4057199A,,,
Tukhopop,/authors/OL4057251A,Patent laws and legislation,Patent laws and legislation,
Tao ci ji (Huaxia wu qian nian yi shu bu neng bu zhi dao cong shu),/authors/OL4057267A,Chinese Pottery,"Chinese Pottery, Chinese Porcelain",
Tongyang haemong chonso,/authors/OL4057499A,Dream interpretation,"Dream interpretation, Dreams",
Choson munhak sasangsa yongu,/authors/OL4057562A,Literature,"Literature, Korean literature, Philisophy, History and criticism, Philosophy",
Hanguk minsok munhwa yongu,/authors/OL4057797A,Social life and customs,"Social life and customs, Folklore, Manners and customs",
"Zhongguo gong chan dang yuan zhu Chaoxian du li yun dong ji shi, 1921-1945 (Fu dan da xue Hanguo yan jiu cong shu)",/authors/OL4057847A,"Korean resistance movements, 1905-1945","Korean resistance movements, 1905-1945, Chronology, History, Koreans, Politics and government, Relations, Zhongguo gong chan dang",
Hanguk kundae sosolsa ui tamsaek,/authors/OL4058091A,Korean fiction,"Korean fiction, History and criticism",
The Discovery of Korea,/authors/OL4058354A,,,
Sennacherib's Campaign to Judah,/authors/OL4058672A,"Bible, history of biblical events, o. t.","Bible, history of biblical events, o. t., Assyria, Palestine, history, Bible, History of Biblical events, History, Campaigns",
Promissory Notes on the Treasury of Merits (Brill's Companions to the Christian Tradition),/authors/OL4058816A,Indulgences,"Indulgences, History",
Elseviers zakatlas,/authors/OL4059002A,,,
Weavers of revolution,/authors/OL94002A,Textile workers,"Textile workers, Socialism, Employee ownership, History, Yarur Manufacturas Chilenas de Algodón, Socialism, chile, Chile, politics and government, Yarur manufacturas chilenas de algodón., Textile workers--chile, Employee ownership--chile--santiago",
One Parent One Language (Studies in Bilingualism),/authors/OL834859A,,,
Born's kaart van Nederland,/authors/OL4059907A,,,
Basic Income,/authors/OL4060126A,Income maintenance programs,"Income maintenance programs, Evaluation, Statistics, Social policy, Public welfare",
Conflictividad laboral y negociación colectiva,/authors/OL94020A,Industrial relations,"Industrial relations, Labor disputes",
Organised Learning from Small-Scale Incidents,/authors/OL4060538A,,,
Accumulation of Technetium in Duckweed,/authors/OL4060540A,,,
Modelling & Inversion of Pulsed Eddy Current Data,/authors/OL4060651A,,,
Development of Optically Stimulated Luminescent Materials for Personal Fast Neutron Dosimetry,/authors/OL4060655A,,,
SARTREAN DIALECTICS. A Method for Critical Discourse on Aesthetic Experience.,/authors/OL4061125A,"Sartre, jean paul, 1905-1980","Sartre, jean paul, 1905-1980, Aesthetics, Criticism (Philosophy), Dialectic",
Corpus Linguistics 25 Years on. (Language and Computers 62) (Language & Computers: Studies in Practical Linguistics),/authors/OL4061228A,Computational linguistics,"Computational linguistics, Discourse analysis, Methodology, Data processing",
"A Grammar of Christian Arabic based mainly on South-Palestinian Texts from the First Millennium, Fasc. II",/authors/OL4061334A,,,
"El Teatro EspaÑOL A FINES DEL SIGLO XVII. Historia, cultura y teatro en la España de Carlos II. Volumen III",/authors/OL4061995A,Spanish drama,"Spanish drama, History and criticism, Congresses, Civilization, History, Theater",
Ibero-America y el Cine (Foro Hispanico 10),/authors/OL4062150A,Motion pictures,"Motion pictures, History, America, history",
Kindermishandeling,/authors/OL4062704A,Child abuse,"Child abuse, Investigation, Reporting",
"GEOLOGY BELINGWE GREENSTONE BELT (Geological Society of Zimbabwe, Special Publications 2)",/authors/OL4062774A,Stratigraphic Geology,"Stratigraphic Geology, Geology, Geology, africa",
Active Flow Control,/authors/OL4063598A,Physics,"Physics, Engineering, Structural control (Engineering), Hydraulic engineering, Fluid dynamics, Congresses, Hydraulic control",
The running lions,/authors/OL4064045A,,,
Spirou und Fantasio 02. Eine aufregende Erbschaft,/authors/OL438039A,,,
Kalte Zeiten,/authors/OL4064579A,,,
Viel Glück und viel Segen für eure Hochzeit,/authors/OL4065184A,,,
Technologie für Bauberufe,/authors/OL4065394A,,,
"Die Nacht. Von Dunkelheit, Träumen und Nachtschwärmern",/authors/OL4066283A,,,
Kursbuch Investmentfonds. Optimale Anlagestrategien,/authors/OL4066324A,,,
Christie Malrys doppelte Buchführung,/authors/OL4066377A,,,
Mein Bagdad Tagebuch,/authors/OL4066393A,Irakkrieg,"Irakkrieg, Kriegsberichterstattung",
Ene mene muuh. Abzählreime mit und ohne Kuh.,/authors/OL4066463A,,,
Analytisch-psychomatische Therapie,/authors/OL4066713A,Group psychotherapy,"Group psychotherapy, Psychoanalysis",
"Historische Friedhöfe Alt-Stuttgarts, Bd.2, Der Central-Friedhof auf der Prag",/authors/OL4066769A,,,
Gerätekunde / Löschgerät,/authors/OL4066966A,,,
Aktuell 2003. Harenberg Lexikon der Gegenwart. 300 000 neue Daten. Das Jahrbuch Nr. 1,/authors/OL4067034A,Histoire universelle,"Histoire universelle, Annuaires, Géographie politique, Géographie économique, Politique et gouvernement, Conditions économiques",
Die lautlose Stimme der einen Hand,/authors/OL4067058A,,,
Royadesara. Roman,/authors/OL4067735A,,,
Tratado elementar de direito internacional privado,/authors/OL94118A,Conflict of laws,Conflict of laws,
Handlungsorientierter Unterricht im Berufsfeld Elektrotechnik,/authors/OL4067934A,Study and teaching,"Study and teaching, Electric industries",
Menschenrechtsschutz durch Staatenberichte,/authors/OL4068027A,Human rights,Human rights,
Kapitalmarktorientierte Bewertung von Finanzierungstiteln unter besonderer Berucksichtigung der Besteuerung auf Anlegerebene,/authors/OL4068125A,Securities,"Securities, Prices, Taxation, Valuation, Corporations, Taxation of bonds, securities, etc., Corporations, valuation",
"Von Römern, Juden, Christen und Barbaren",/authors/OL4068240A,,,
Maskulinitat in Der Hofischen Erzahlliteratur (Hamburger Beitrage Zur Germanistik),/authors/OL4068393A,"German literature, history and criticism","German literature, history and criticism, Masculinity in literature, Homosexuality in literature, Sex in literature, German literature, History and criticism",
Frauenliteratur Der 70er Jahre in Der Schweiz,/authors/OL4068563A,Swiss literature (German),"Swiss literature (German), Women authors, History and criticism, Women and literature, History",
Variations Sur L'Inquietude Rythmique,/authors/OL4068780A,"Boulez, pierre, 1925-2016","Boulez, pierre, 1925-2016, Musical meter and rhythm, Criticism and interpretation",
Entwicklung Und Evaluation Eines Gruppentrainings Fur Mutter Von Kindern Mit Einer Aufmerksamkeitsdefizit-/Hyperaktivitatsstorung (Adhs),/authors/OL4068948A,Attention-deficit hyperactivity disorder,"Attention-deficit hyperactivity disorder, Case studies, Treatment, Attention-deficit-disordered children, Family relationships, Mothers of exceptional children, Counseling of",
Ruckblick Und Erneuerung,/authors/OL4069142A,Piano music,"Piano music, History and criticism, Fugue, Influence",
"Innovation, Diffusion Und Beschaftigung",/authors/OL4069147A,Economic systems & structures,"Economic systems & structures, Economic growth, Labour economics, Strukturelle Arbeitslosigkeit, Innovation, Diffusion <Wirtschaft>, Technischer Fortschritt, Beschaftigungswirkung, Technological unemployment, Technology transfer",
Sustainable Development als Paradigma moderner Padologie bei Ellen Key,/authors/OL4069317A,Reformpadagogik,"Reformpadagogik, Women educators, Biography, Women social reformers, Child development, Reformpädagogik, Ellen Karolina Sofia Key",
Informationspflichten Des Arbeitgebers Gegenuber Den Einzelnen Arbeitnehmern Bei Einem Betriebsubergang Unter Europarechtlichen Gesichtspunkten,/authors/OL4069342A,,,
Der Wiedereinstellungsanspruch Des Arbeitnehmers Nach Wegfall Des Kundigungsgrundes,/authors/OL4069574A,,,
Mapping Techno,/authors/OL4069816A,Engineering,"Engineering, Youth, Attitudes, Rave culture, Techno music, Techno, Jeugdsociologie, Culturele identiteit, Jugendkultur, Social aspects",
"Horoscopo Chino, El",/authors/OL4070741A,,,
"Musik und Gesellschaft. Schriftenreihe, Bd. 27: Mediamorphosen des Kulturschaffens",/authors/OL4070875A,,,
Cavalhadas de Pirenópolis,/authors/OL94167A,,,
Henry Miller,/authors/OL94230A,,,
Curiosidades folclóricas brasileiras,/authors/OL94419A,Social life and customs,"Social life and customs, Folklore",
A MPB em movimento,/authors/OL94429A,Popular music,"Popular music, History and criticism, Music festivals",
Cold Air Mesocyclones in the Arctic and Antarctic,/authors/OL4084132A,Cyclones,"Cyclones, Natural history, canada, Arctic regions",
"Tuneu, Tarsila e outros mestres--",/authors/OL94441A,Study and teaching,"Study and teaching, Art, Biography, Artists, Influence, Criticism and interpretation, Artists as teachers",
"The Role of the Plasminogen Activator/Plasmin Pathway in Bone Metabolism (Acta Biomedica Lovanuensia, 223)",/authors/OL4084547A,,,
The Genetics of Dizygotic Twinning,/authors/OL4085013A,,,
